,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,***.*,***.*,-75
2,Rape,,0,0.0,***.*,2.0,1,100,4,5,-20,-55.555555555555,-20,-42.857142857142
3,Robbery,,3,9.0,-66.666666666666,14.0,15,-6.666666666666,64,74,-13.513513513513,-25.581395348837,-14.666666666666,-85.90308370044
4,Fel. Assault,,5,7.0,-28.571428571428,14.0,17,-17.647058823529,92,93,-1.075268817204,-10.679611650485,80.392156862745,-21.367521367521
5,Burglary,,6,6.0,0,15.0,18,-16.666666666666,85,112,-24.107142857142,-35.60606060606,-36.090225563909,-87.994350282485
6,Gr. Larceny,,13,12.0,8.333333333333,64.0,75,-14.666666666666,414,436,-5.045871559633,-2.81690140845,-33.865814696485,-63.395225464191
7,G.L.A.,,1,1.0,0,4.0,8,-50,15,32,-53.125,-46.428571428571,0,-97.237569060773
8,TOTAL,,28,35.0,-20,113.0,134,-15.671641791044,675,752,-10.239361702127,-13.903061224489,-25.414364640884,-77.226720647773
9,Transit,,0,3.0,-100,1.0,8,-87.5,25,36,-30.555555555555,-44.444444444444,-28.571428571428,***.*
10,Housing,,1,0.0,***.*,1.0,0,***.*,4,5,-20,-42.857142857142,-60,***.*
11,Petit Larceny,,60,36.0,66.666666666666,210.0,177,18.64406779661,1321,909,45.324532453245,25.21327014218,70.01287001287,***.*
12,Retail Theft,,48,23.0,108.695652173913,186.0,125,48.8,1126,668,68.562874251497,40.75,***.*,***.*
13,Misd. Assault,,18,6.0,200,57.0,39,46.153846153846,256,209,22.488038277512,19.626168224299,43.016759776536,***.*
14,UCR Rape*,,0,0.0,***.*,2.0,1,100,6,11,-45.454545454545,-64.705882352941,***.*,***.*
15,Other Sex Crimes,,0,2.0,-100,10.0,9,11.111111111111,52,55,-5.454545454545,20.930232558139,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,***.*,***.*,-75
17,Shooting Inc.,,0,0.0,***.*,0.0,0,***.*,1,0,***.*,***.*,***.*,-75
18,Hate Crimes,,0,0.0,***.*,0.0,2,-100,4,4,0,-63.636363636363,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,1.0,-100,0.0,1,-100,0,1,-100,-100,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,13,,6,,2,,2,2,0,0,-66.666666666666,-84.615384615384
27,Rape,,21,,21,,7,,10,12,20,71.428571428571,-42.857142857142,-42.857142857142
28,Robbery,,1319,,1050,,433,,308,175,-43.181818181818,-59.584295612009,-83.333333333333,-86.732373009855
29,Fel. Assault,,357,,303,,205,,177,226,27.683615819209,10.243902439024,-25.412541254125,-36.694677871148
30,Burglary,,1986,,1649,,692,,552,219,-60.326086956521,-68.352601156069,-86.719223771983,-88.972809667673
31,Gr. Larceny,,4632,,2765,,1878,,1753,1063,-39.361095265259,-43.397231096911,-61.555153707052,-77.050949913644
32,G.L.A.,,1812,,1286,,444,,216,65,-69.907407407407,-85.36036036036,-94.945567651633,-96.412803532008
33,TOTAL,,10140,,7080,,3661,,3018,1762,-41.616964877402,-51.871073477192,-75.112994350282,-82.623274161735
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
