,Unnamed: 0,Unnamed: 1,Week to Date,Unnamed: 3,Unnamed: 4,      28 Day,Unnamed: 6,Unnamed: 7,      Year to Date*,Unnamed: 9,Unnamed: 10,     2 Year   ,14 Year (2010),31 Year (1993)
0, ,,2024,2023.0,% Chg,2024.0,2023,% Chg,2024,2023,% Chg,% Chg,% Chg,% Chg
1,Murder,,0,0.0,***.*,0.0,0,***.*,1,1,0,***.*,***.*,-75
2,Rape,,4,0.0,***.*,4.0,0,***.*,4,2,100,-20,300,-42.857142857142
3,Robbery,,4,5.0,-20,19.0,10,90,109,55,98.181818181818,87.931034482758,17.204301075268,-78.916827852998
4,Fel. Assault,,4,5.0,-20,21.0,13,61.538461538461,136,103,32.038834951456,94.285714285714,156.603773584906,-23.163841807909
5,Burglary,,2,3.0,-33.333333333333,25.0,20,25,92,104,-11.538461538461,3.370786516853,95.744680851063,-71.865443425076
6,Gr. Larceny,,24,9.0,166.666666666667,66.0,55,20,313,299,4.682274247491,19.465648854961,72.92817679558,-26.697892271662
7,G.L.A.,,2,2.0,0,9.0,6,50,31,31,0,24,55,-89.902280130293
8,TOTAL,,40,24.0,66.666666666666,144.0,104,38.461538461538,686,595,15.294117647058,34.774066797642,73.670886075949,-61.155152887882
9,Transit,,0,0.0,***.*,1.0,4,-75,17,21,-19.047619047619,-15,-45.16129032258,***.*
10,Housing,,1,0.0,***.*,3.0,0,***.*,22,21,4.761904761904,29.411764705882,266.666666666667,***.*
11,Petit Larceny,,47,36.0,30.555555555555,174.0,165,5.454545454545,944,886,6.546275395033,28.086838534599,55.263157894736,***.*
12,Retail Theft,,38,21.0,80.95238095238,152.0,134,13.432835820895,850,797,6.649937264742,40.26402640264,***.*,***.*
13,Misd. Assault,,11,3.0,266.666666666667,33.0,28,17.857142857142,209,161,29.813664596273,25.149700598802,20.809248554913,***.*
14,UCR Rape*,,4,0.0,***.*,4.0,0,***.*,7,3,133.333333333333,-12.5,***.*,***.*
15,Other Sex Crimes,,1,2.0,-50,3.0,2,50,22,19,15.78947368421,-26.666666666666,***.*,***.*
16,Shooting Vic.,,0,0.0,***.*,1.0,2,-50,2,5,-60,100,100,-88.888888888888
17,Shooting Inc.,,0,0.0,***.*,1.0,1,0,2,4,-50,100,100,-86.666666666666
18,Hate Crimes,,0,0.0,***.*,0.0,1,-100,5,11,-54.545454545454,-16.666666666666,***.*,***.*
19,Traffic Statistics,,,,,,,,,,,,,
20,Traffic Fatalities,,0,0.0,***.*,0.0,0,***.*,0,1,-100,***.*,***.*,***.*
21,,,,,,,,,,,,,,
22,Historical Perspective,,,,,,,,,,,,,
23,(Historical perspective is a complete calendar year of data.),,,,,,,,,,,,,
24,,, ,, ,, ,, , ,%Chg  ,%Chg  ,%Chg  ,%Chg  
25,,,1990,,1993,,1998,,2001,2023,'23 vs '01,'23 vs '98,'23 vs '93,'23 vs '90
26,Murder,,18,,11,,1,,3,1,-66.666666666666,0,-90.90909090909,-94.444444444444
27,Rape,,27,,22,,16,,5,5,0,-68.75,-77.272727272727,-81.481481481481
28,Robbery,,1908,,1314,,462,,279,158,-43.36917562724,-65.800865800865,-87.975646879756,-91.719077568134
29,Fel. Assault,,384,,432,,280,,200,253,26.5,-9.642857142857,-41.435185185185,-34.114583333333
30,Burglary,,1563,,820,,392,,312,183,-41.346153846153,-53.316326530612,-77.682926829268,-88.291746641074
31,Gr. Larceny,,1715,,1136,,732,,736,670,-8.967391304347,-8.469945355191,-41.021126760563,-60.932944606414
32,G.L.A.,,920,,733,,273,,149,82,-44.96644295302,-69.96336996337,-88.81309686221,-91.086956521739
33,TOTAL,,6535,,4468,,2156,,1684,1352,-19.714964370546,-37.291280148423,-69.740376007162,-79.311400153022
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,Figures are preliminary and subject to further analysis and revision.,,,,,,,,,,,,,
37,"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ",,,,,,,,,,,,,
38,borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.,,,,,,,,,,,,,
39,"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ",,,,,,,,,,,,,
40,by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ,,,,,,,,,,,,,
41,the UCR Program.,,,,,,,,,,,,,
42,"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.",,,,,,,,,,,,,
43,Prepared by,,,,,,,,,,CompStat,,,
44,NYPD CompStat Unit,,,,,,,,,,,,,
