precinct,borough,neighborhoods,crimeCount,monthToDate,yearToDate,crimeBreakdown,weightedCrimeVal,safetyScore
1,Manhattan,"Battery Park, Tribeca",168,784,73,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 7, ""Burglary"": 4, ""Grand Larceny"": 19, ""Grand Larceny Auto"": 1}",108,0.7711442786069651
5,Manhattan,"Lower East Side, Chinatown",101,378,51,"{""Murder"": 0, ""Rape"": 2, ""Robbery"": 1, ""Felony Assault"": 6, ""Burglary"": 2, ""Grand Larceny"": 21, ""Grand Larceny Auto"": 0}",139,0.6940298507462687
6,Manhattan,"Greenwich Village, Soho",76,310,46,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 2, ""Burglary"": 4, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 0}",70,0.8656716417910448
7,Manhattan,"Lower East Side, Chinatown",72,294,40,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 0, ""Felony Assault"": 5, ""Burglary"": 2, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 0}",60,0.8905472636815921
9,Manhattan,"Lower East Side, Chinatown",97,429,55,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 4, ""Burglary"": 1, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 0}",71,0.8631840796019901
10,Manhattan,"Chelsea, Clinton",59,234,36,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 1, ""Burglary"": 0, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 0}",38,0.945273631840796
13,Manhattan,"Stuyvesant Town, Turtle Bay",159,692,56,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 3, ""Felony Assault"": 5, ""Burglary"": 5, ""Grand Larceny"": 22, ""Grand Larceny Auto"": 0}",117,0.7487562189054726
14,Manhattan,Midtown Business District,306,1155,175,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 6, ""Felony Assault"": 16, ""Burglary"": 7, ""Grand Larceny"": 57, ""Grand Larceny Auto"": 0}",305,0.2810945273631841
17,Manhattan,"Stuyvesant Town, Turtle Bay",53,192,27,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 0, ""Felony Assault"": 0, ""Burglary"": 2, ""Grand Larceny"": 9, ""Grand Larceny Auto"": 0}",44,0.9303482587064676
18,Manhattan,"Chelsea, Clinton",239,800,109,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 8, ""Burglary"": 4, ""Grand Larceny"": 45, ""Grand Larceny Auto"": 0}",139,0.6940298507462687
19,Manhattan,Upper East Side,130,608,75,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 0, ""Felony Assault"": 2, ""Burglary"": 2, ""Grand Larceny"": 19, ""Grand Larceny Auto"": 0}",70,0.8656716417910448
20,Manhattan,"West Side, Upper West Side",78,384,43,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 0, ""Burglary"": 4, ""Grand Larceny"": 7, ""Grand Larceny Auto"": 0}",47,0.9228855721393034
22,Manhattan,Central Park,5,11,0,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 0, ""Felony Assault"": 2, ""Burglary"": 0, ""Grand Larceny"": 0, ""Grand Larceny Auto"": 0}",16,1.0
23,Manhattan,East Harlem,77,333,27,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 3, ""Felony Assault"": 11, ""Burglary"": 0, ""Grand Larceny"": 4, ""Grand Larceny Auto"": 1}",125,0.7288557213930349
24,Manhattan,"West Side, Upper West Side",82,356,48,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 1, ""Burglary"": 1, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 0}",33,0.9577114427860697
25,Manhattan,East Harlem,74,294,24,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 3, ""Burglary"": 1, ""Grand Larceny"": 8, ""Grand Larceny Auto"": 2}",53,0.9079601990049752
26,Manhattan,"Manhattanville, Hamilton Heights",29,159,15,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 2, ""Burglary"": 0, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 0}",41,0.9378109452736318
28,Manhattan,Central Harlem,49,265,19,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 1, ""Burglary"": 2, ""Grand Larceny"": 4, ""Grand Larceny Auto"": 1}",35,0.9527363184079602
30,Manhattan,"Manhattanville, Hamilton Heights",54,189,30,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 9, ""Burglary"": 0, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 1}",90,0.8159203980099503
32,Manhattan,Central Harlem,110,355,50,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 7, ""Felony Assault"": 13, ""Burglary"": 3, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 1}",197,0.5497512437810945
33,Manhattan,"Washington Heights, Inwood",41,203,24,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 2, ""Burglary"": 1, ""Grand Larceny"": 1, ""Grand Larceny Auto"": 1}",65,0.8781094527363185
34,Manhattan,"Washington Heights, Inwood",93,356,54,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 10, ""Burglary"": 0, ""Grand Larceny"": 6, ""Grand Larceny Auto"": 1}",129,0.7189054726368159
40,The Bronx,"Melrose, Mott Haven, Port Morris",201,775,94,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 13, ""Felony Assault"": 19, ""Burglary"": 6, ""Grand Larceny"": 11, ""Grand Larceny Auto"": 3}",357,0.15174129353233834
41,The Bronx,"Hunts Point, Longwood",67,281,22,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 2, ""Felony Assault"": 7, ""Burglary"": 7, ""Grand Larceny"": 2, ""Grand Larceny Auto"": 2}",144,0.681592039800995
42,The Bronx,"Morrisania, Crotona Park East",127,507,62,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 18, ""Burglary"": 2, ""Grand Larceny"": 14, ""Grand Larceny Auto"": 5}",223,0.4850746268656716
43,The Bronx,"Soundview, Parkchester",127,591,61,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 3, ""Felony Assault"": 8, ""Burglary"": 4, ""Grand Larceny"": 11, ""Grand Larceny Auto"": 6}",143,0.6840796019900497
44,The Bronx,"Highbridge, Concourse Village",144,597,82,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 9, ""Felony Assault"": 11, ""Burglary"": 5, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 4}",250,0.417910447761194
45,The Bronx,"Throgs Neck, Co-op City, Pelham Bay",125,493,66,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 3, ""Felony Assault"": 10, ""Burglary"": 2, ""Grand Larceny"": 20, ""Grand Larceny Auto"": 6}",158,0.6467661691542288
46,The Bronx,"University Heights, Fordham, Mt. Hope",114,489,49,"{""Murder"": 1, ""Rape"": 0, ""Robbery"": 7, ""Felony Assault"": 13, ""Burglary"": 4, ""Grand Larceny"": 8, ""Grand Larceny Auto"": 4}",264,0.3830845771144279
47,The Bronx,"Wakefield, Williamsbridge",182,691,100,"{""Murder"": 1, ""Rape"": 1, ""Robbery"": 4, ""Felony Assault"": 17, ""Burglary"": 3, ""Grand Larceny"": 15, ""Grand Larceny Auto"": 17}",332,0.2139303482587065
48,The Bronx,"East Tremont, Belmont",121,479,70,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 6, ""Felony Assault"": 9, ""Burglary"": 9, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 3}",196,0.5522388059701493
49,The Bronx,"Pelham Parkway, Morris Park, Laconia",163,567,71,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 7, ""Felony Assault"": 8, ""Burglary"": 4, ""Grand Larceny"": 19, ""Grand Larceny Auto"": 5}",188,0.572139303482587
50,The Bronx,"Riverdale, Kingsbridge, Marble Hill",77,288,40,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 2, ""Felony Assault"": 7, ""Burglary"": 6, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 4}",148,0.6716417910447761
52,The Bronx,"Bedford Park, Norwood, Fordham",123,616,68,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 12, ""Burglary"": 1, ""Grand Larceny"": 11, ""Grand Larceny Auto"": 6}",150,0.6666666666666667
60,Brooklyn,"Coney Island, Brighton Beach",91,364,35,"{""Murder"": 0, ""Rape"": 2, ""Robbery"": 3, ""Felony Assault"": 10, ""Burglary"": 3, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 1}",183,0.5845771144278606
61,Brooklyn,"Sheepshead Bay, Gerritsen Beach",74,311,40,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 3, ""Burglary"": 5, ""Grand Larceny"": 3, ""Grand Larceny Auto"": 4}",84,0.8308457711442786
62,Brooklyn,"Bensonhurst, Bath Beach",76,344,39,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 2, ""Felony Assault"": 1, ""Burglary"": 1, ""Grand Larceny"": 11, ""Grand Larceny Auto"": 3}",53,0.9079601990049752
63,Brooklyn,"Canarsie, Flatlands",77,360,36,"{""Murder"": 0, ""Rape"": 1, ""Robbery"": 3, ""Felony Assault"": 2, ""Burglary"": 2, ""Grand Larceny"": 5, ""Grand Larceny Auto"": 3}",95,0.8034825870646767
66,Brooklyn,"Borough Park, Ocean Parkway",54,299,27,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 1, ""Felony Assault"": 2, ""Burglary"": 0, ""Grand Larceny"": 8, ""Grand Larceny Auto"": 3}",43,0.9328358208955224
67,Brooklyn,"East Flatbush, Rugby, Farragut",130,507,61,"{""Murder"": 0, ""Rape"": 0, ""Robbery"": 4, ""Felony Assault"": 16, ""Burglary"": 9, ""Grand Larceny"": 10, ""Grand Larceny Auto"": 3}",232,0.4626865671641791
